cqlsh> SELECT * FROM timur.task4 WHERE NAME = 'Ivan' ALLOW FILTERING;

 id | dept_name | name
----+-----------+------

(0 rows)

Tracing session: 386fcb40-1054-11eb-a2f3-41899bc8b0fd

 activity                                                                                                                    | timestamp                  | source        | source_elapsed | client
                                                              Processing response from /172.31.75.9 [RequestResponseStage-2] | 2020-10-17 08:39:07.607000 |   172.31.78.3 |          99402 | 172.31.78.3
                                     RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 08:39:07.608000 |   172.31.75.9 |             25 | 172.31.78.3
                                     RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 08:39:07.608000 |   172.31.75.9 |            154 | 172.31.78.3
                                     RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 08:39:07.608000 |   172.31.75.9 |            220 | 172.31.78.3
                                     RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 08:39:07.608001 |   172.31.75.9 |            273 | 172.31.78.3
                                     RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 08:39:07.608001 |   172.31.75.9 |            342 | 172.31.78.3
                                     RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 08:39:07.608001 |   172.31.75.9 |            396 | 172.31.78.3
               Executing seq scan across 3 sstables for (max(-8729613095813447996), max(-8696425413345250844)] [ReadStage-4] | 2020-10-17 08:39:07.608001 |   172.31.75.9 |            705 | 172.31.78.3
               Executing seq scan across 3 sstables for (max(-8465468835742001974), max(-8444027319981278500)] [ReadStage-3] | 2020-10-17 08:39:07.613000 |   172.31.75.9 |           5433 | 172.31.78.3
                                REQUEST_RESPONSE message received from /172.31.75.9 [MessagingService-Incoming-/172.31.75.9] | 2020-10-17 08:39:07.617000 |   172.31.78.3 |         109389 | 172.31.78.3
                                                              Processing response from /172.31.75.9 [RequestResponseStage-3] | 2020-10-17 08:39:07.618000 |   172.31.78.3 |         109684 | 172.31.78.3
                                     Didn't get any response rows; new concurrent requests: 20 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.618000 |   172.31.78.3 |         109834 | 172.31.78.3
                                                             Enqueuing request to /172.31.75.9 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.618000 |   172.31.78.3 |         109946 | 172.31.78.3
                                                           Enqueuing request to /172.31.77.183 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.618001 |   172.31.78.3 |         110045 | 172.31.78.3
                                                             Enqueuing request to /172.31.75.9 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.618001 |   172.31.78.3 |         110188 | 172.31.78.3
                                                           Enqueuing request to /172.31.77.183 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.618001 |   172.31.78.3 |         110255 | 172.31.78.3
                              Sending RANGE_SLICE message to /172.31.77.183 [MessagingService-Outgoing-/172.31.77.183-Small] | 2020-10-17 08:39:07.618001 |   172.31.78.3 |         110261 | 172.31.78.3
                                                             Enqueuing request to /172.31.75.9 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.618001 |   172.31.78.3 |         110320 | 172.31.78.3
                              Sending RANGE_SLICE message to /172.31.77.183 [MessagingService-Outgoing-/172.31.77.183-Small] | 2020-10-17 08:39:07.618001 |   172.31.78.3 |         110387 | 172.31.78.3
                                                           Enqueuing request to /172.31.77.183 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.618001 |   172.31.78.3 |         110392 | 172.31.78.3
                                                             Enqueuing request to /172.31.75.9 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.618001 |   172.31.78.3 |         110458 | 172.31.78.3
                              Sending RANGE_SLICE message to /172.31.77.183 [MessagingService-Outgoing-/172.31.77.183-Small] | 2020-10-17 08:39:07.618001 |   172.31.78.3 |         110472 | 172.31.78.3
                                                           Enqueuing request to /172.31.77.183 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.619000 |   172.31.78.3 |         110539 | 172.31.78.3
                              Sending RANGE_SLICE message to /172.31.77.183 [MessagingService-Outgoing-/172.31.77.183-Small] | 2020-10-17 08:39:07.619000 |   172.31.78.3 |         110622 | 172.31.78.3
                                                             Enqueuing request to /172.31.75.9 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.619000 |   172.31.78.3 |         110635 | 172.31.78.3
                                                             Enqueuing request to /172.31.75.9 [Native-Transport-Requests-1] | 2020-10-17 08:39:07.619000 |   172.31.78.3 |         110709 | 172.31.78.3
                                                        Submitted 15 concurrent range requests [Native-Transport-Requests-1] | 2020-10-17 08:39:07.619000 |   172.31.78.3 |         110767 | 172.31.78.3
                                  Sending RANGE_SLICE message to /172.31.75.9 [MessagingService-Outgoing-/172.31.75.9-Small] | 2020-10-17 08:39:07.619000 |   172.31.78.3 |         110886 | 172.31.78.3
                                  Sending RANGE_SLICE message to /172.31.75.9 [MessagingService-Outgoing-/172.31.75.9-Small] | 2020-10-17 08:39:07.619001 |   172.31.78.3 |         110954 | 172.31.78.3
                                  Sending RANGE_SLICE message to /172.31.75.9 [MessagingService-Outgoing-/172.31.75.9-Small] | 2020-10-17 08:39:07.619001 |   172.31.78.3 |         111044 | 172.31.78.3
                                  Sending RANGE_SLICE message to /172.31.75.9 [MessagingService-Outgoing-/172.31.75.9-Small] | 2020-10-17 08:39:07.619001 |   172.31.78.3 |         111095 | 172.31.78.3
                                  Sending RANGE_SLICE message to /172.31.75.9 [MessagingService-Outgoing-/172.31.75.9-Small] | 2020-10-17 08:39:07.619001 |   172.31.78.3 |         111141 | 172.31.78.3
                                  Sending RANGE_SLICE message to /172.31.75.9 [MessagingService-Outgoing-/172.31.75.9-Small] | 2020-10-17 08:39:07.619001 |   172.31.78.3 |         111186 | 172.31.78.3
               Executing seq scan across 0 sstables for (max(-8519280398126249081), max(-8465468835742001974)] [ReadStage-3] | 2020-10-17 08:39:07.619001 |   172.31.78.3 |         111338 | 172.31.78.3
               Executing seq scan across 0 sstables for (max(-8444027319981278500), max(-8417132403619784681)] [ReadStage-2] | 2020-10-17 08:39:07.621000 |   172.31.78.3 |         112527 | 172.31.78.3
               Executing seq scan across 0 sstables for (max(-8364331789076206950), max(-8351406209383497921)] [ReadStage-6] | 2020-10-17 08:39:07.621000 |   172.31.78.3 |         112560 | 172.31.78.3
                                     RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 08:39:07.622000 | 172.31.77.183 |             24 | 172.31.78.3
                                                                      Read 722 live rows and 0 tombstone cells [ReadStage-6] | 2020-10-17 08:39:07.622000 |   172.31.78.3 |         114363 | 172.31.78.3
                                     RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 08:39:07.622000 | 172.31.77.183 |            296 | 172.31.78.3
                                     RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 08:39:07.623000 | 172.31.77.183 |            379 | 172.31.78.3
               Executing seq scan across 0 sstables for (max(-8252906976272649666), max(-8223875233710261373)] [ReadStage-4] | 2020-10-17 08:39:07.623000 |   172.31.78.3 |         114582 | 172.31.78.3
                                     RANGE_SLICE message received from /172.31.78.3 [MessagingService-Incoming-/172.31.78.3] | 2020-10-17 08:39:07.623000 | 172.31.77.183 |            455 | 172.31.78.3
               Executing seq scan across 3 sstables for (max(-8696425413345250844), max(-8519280398126249081)] [ReadStage-1] | 2020-10-17 08:39:07.623000 | 172.31.77.183 |            688 | 172.31.78.3
               Executing seq scan across 3 sstables for (max(-8417132403619784681), max(-8407463119720348930)] [ReadStage-9] | 2020-10-17 08:39:07.624000 | 172.31.77.183 |           1747 | 172.31.78.3
                                                                     Read 1176 live rows and 0 tombstone cells [ReadStage-3] | 2020-10-17 08:39:07.624000 |   172.31.75.9 |          16571 | 172.31.78.3
                            REQUEST_RESPONSE message received from /172.31.77.183 [MessagingService-Incoming-/172.31.77.183] | 2020-10-17 08:39:07.625000 |   172.31.78.3 |         117351 | 172.31.78.3
                                                                            Enqueuing response to /172.31.78.3 [ReadStage-3] | 2020-10-17 08:39:07.625000 |   172.31.75.9 |          17218 | 172.31.78.3
                                                            Processing response from /172.31.77.183 [RequestResponseStage-5] | 2020-10-17 08:39:07.625000 |   172.31.78.3 |         117436 | 172.31.78.3
               Executing seq scan across 3 sstables for (max(-8351406209383497921), max(-8330485201365973462)] [ReadStage-2] | 2020-10-17 08:39:07.626000 | 172.31.77.183 |           4129 | 172.31.78.3
               Executing seq scan across 0 sstables for (max(-8207917665532560048), max(-8169036618518806704)] [ReadStage-7] | 2020-10-17 08:39:07.626000 |   172.31.78.3 |         117525 | 172.31.78.3
               Executing seq scan across 3 sstables for (max(-8407463119720348930), max(-8364331789076206950)] [ReadStage-3] | 2020-10-17 08:39:07.626000 |   172.31.75.9 |          18055 | 172.31.78.3
                             Sending REQUEST_RESPONSE message to /172.31.78.3 [MessagingService-Outgoing-/172.31.78.3-Small] | 2020-10-17 08:39:07.626000 |   172.31.75.9 |          18054 | 172.31.78.3
                                                                      Read 525 live rows and 0 tombstone cells [ReadStage-9] | 2020-10-17 08:39:07.627000 | 172.31.77.183 |           4878 | 172.31.78.3
               Executing seq scan across 3 sstables for (max(-8330485201365973462), max(-8293292379014963604)] [ReadStage-5] | 2020-10-17 08:39:07.627000 |   172.31.75.9 |          19363 | 172.31.78.3
                                                                            Enqueuing response to /172.31.78.3 [ReadStage-9] | 2020-10-17 08:39:07.627000 | 172.31.77.183 |           4947 | 172.31.78.3
               Executing seq scan across 3 sstables for (max(-8273947159196916978), max(-8252906976272649666)] [ReadStage-2] | 2020-10-17 08:39:07.627000 |   172.31.75.9 |          19779 | 172.31.78.3
                             Sending REQUEST_RESPONSE message to /172.31.78.3 [MessagingService-Outgoing-/172.31.78.3-Small] | 2020-10-17 08:39:07.629000 | 172.31.77.183 |           6400 | 172.31.78.3
               Executing seq scan across 3 sstables for (max(-8223875233710261373), max(-8207917665532560048)] [ReadStage-6] | 2020-10-17 08:39:07.629000 |   172.31.75.9 |          21150 | 172.31.78.3
               Executing seq scan across 3 sstables for (max(-8293292379014963604), max(-8273947159196916978)] [ReadStage-9] | 2020-10-17 08:39:07.629000 | 172.31.77.183 |           6542 | 172.31.78.3
                                                                     Read 1554 live rows and 0 tombstone cells [ReadStage-4] | 2020-10-17 08:39:07.630000 |   172.31.78.3 |         122423 | 172.31.78.3
                            REQUEST_RESPONSE message received from /172.31.77.183 [MessagingService-Incoming-/172.31.77.183] | 2020-10-17 08:39:07.632000 |   172.31.78.3 |         124414 | 172.31.78.3
                                                            Processing response from /172.31.77.183 [RequestResponseStage-5] | 2020-10-17 08:39:07.632000 |   172.31.78.3 |         124496 | 172.31.78.3
